kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;7;512;32;0.098144;38.1724;1346390
run-length3;100000;7;8;64;2.1072;1.7779;1346390
run-length3;100000;7;16;64;1.06445;3.51956;1346390
run-length3;100000;7;32;64;0.549184;6.82174;1346390
run-length3;100000;7;64;64;0.28672;13.0664;1346390
run-length3;100000;7;128;64;0.165184;22.6801;1346390
run-length3;100000;7;256;64;0.09664;38.7665;1346390
run-length3;100000;7;512;64;0.064992;57.6439;1346390
run-length3;100000;7;8;128;1.09046;3.43559;1346390
run-length3;100000;7;16;128;0.559008;6.70185;1346390
run-length3;100000;7;32;128;0.285824;13.1073;1346390
run-length3;100000;7;64;128;0.157152;23.8393;1346390
run-length3;100000;7;128;128;0.096576;38.7921;1346390
run-length3;100000;7;256;128;0.066688;56.1779;1346390
run-length3;100000;7;512;128;0.045344;82.6215;1346390
run-length3;100000;7;8;256;0.591616;6.33247;1346390
run-length3;100000;7;16;256;0.306816;12.2105;1346390
run-length3;100000;7;32;256;0.167936;22.3084;1346390
run-length3;100000;7;64;256;0.098304;38.1102;1346390
run-length3;100000;7;128;256;0.06528;57.3896;1346390
run-length3;100000;7;256;256;0.047104;79.5344;1346390
run-length3;100000;7;512;256;0.042464;88.2251;1346390
run-length3;100000;7;8;512;0.347808;10.7714;1346390
run-length3;100000;7;16;512;0.18432;20.3255;1346390
run-length3;100000;7;32;512;0.107776;34.7609;1346390
run-length3;100000;7;64;512;0.067264;55.6968;1346390
run-length3;100000;7;128;512;0.043008;87.1091;1346390
run-length3;100000;7;256;512;0.042464;88.2251;1346390
run-length3;100000;7;512;512;0.040928;91.5361;1346390
run-length3;100000;7;8;1024;0.252096;14.861;1346390
run-length3;100000;7;16;1024;0.140064;26.7477;1346390
run-length3;100000;7;32;1024;0.084;44.5999;1346390
run-length3;100000;7;64;1024;0.048928;76.5694;1346390
run-length3;100000;7;128;1024;0.045888;81.642;1346390
run-length3;100000;7;256;1024;0.045984;81.4716;1346390
run-length3;100000;7;512;1024;0.046784;80.0784;1346390
run-length3;100000;8;8;16;9.31226;0.38662;1200307
run-length3;100000;8;16;16;3.84454;0.936472;1200307
run-length3;100000;8;32;16;1.93526;1.86037;1200307
run-length3;100000;8;64;16;0.978944;3.67775;1200307
run-length3;100000;8;128;16;0.511648;7.03669;1200307
run-length3;100000;8;256;16;0.276;13.0446;1200307
run-length3;100000;8;512;16;0.16896;21.3086;1200307
run-length3;100000;8;8;32;4.52579;0.795509;1200307
run-length3;100000;8;16;32;2.27242;1.58435;1200307
run-length3;100000;8;32;32;1.14851;3.13476;1200307
run-length3;100000;8;64;32;0.583072;6.17472;1200307
run-length3;100000;8;128;32;0.315136;11.4246;1200307
run-length3;100000;8;256;32;0.160704;22.4033;1200307
run-length3;100000;8;512;32;0.098304;36.6242;1200307
run-length3;100000;8;8;64;2.18467;1.64799;1200307
run-length3;100000;8;16;64;1.11002;3.24347;1200307
run-length3;100000;8;32;64;0.56656;6.35468;1200307
run-length3;100000;8;64;64;0.298304;12.0693;1200307
run-length3;100000;8;128;64;0.167936;21.4386;1200307
run-length3;100000;8;256;64;0.097184;37.0463;1200307
run-length3;100000;8;512;64;0.065376;55.0708;1200307
run-length3;100000;8;8;128;1.13888;3.16127;1200307
run-length3;100000;8;16;128;0.587776;6.1253;1200307
run-length3;100000;8;32;128;0.301408;11.945;1200307
run-length3;100000;8;64;128;0.161792;22.2527;1200307
run-length3;100000;8;128;128;0.098304;36.6242;1200307
run-length3;100000;8;256;128;0.065248;55.1788;1200307
run-length3;100000;8;512;128;0.044992;80.021;1200307
run-length3;100000;8;8;256;0.635904;5.66171;1200307
run-length3;100000;8;16;256;0.324832;11.0836;1200307
run-length3;100000;8;32;256;0.170272;21.1444;1200307
run-length3;100000;8;64;256;0.098304;36.6242;1200307
run-length3;100000;8;128;256;0.065536;54.9363;1200307
run-length3;100000;8;256;256;0.047296;76.1229;1200307
run-length3;100000;8;512;256;0.043008;83.7125;1200307
run-length3;100000;8;8;512;0.36224;9.93901;1200307
run-length3;100000;8;16;512;0.190464;18.9028;1200307
run-length3;100000;8;32;512;0.110368;32.6209;1200307
run-length3;100000;8;64;512;0.068928;52.2329;1200307
run-length3;100000;8;128;512;0.0488;73.7768;1200307
run-length3;100000;8;256;512;0.041408;86.9471;1200307
run-length3;100000;8;512;512;0.042976;83.7748;1200307
run-length3;100000;8;8;1024;0.266304;13.5195;1200307
run-length3;100000;8;16;1024;0.146016;24.6569;1200307
run-length3;100000;8;32;1024;0.084608;42.5528;1200307
run-length3;100000;8;64;1024;0.051136;70.4065;1200307
run-length3;100000;8;128;1024;0.049152;73.2484;1200307
run-length3;100000;8;256;1024;0.048672;73.9708;1200307
run-length3;100000;8;512;1024;0.048448;74.3128;1200307
run-length3;100000;9;8;16;9.81203;0.356345;1096472
run-length3;100000;9;16;16;3.8359;0.911512;1096472
run-length3;100000;9;32;16;1.92326;1.81799;1096472
run-length3;100000;9;64;16;0.972672;3.59471;1096472
run-length3;100000;9;128;16;0.507552;6.88889;1096472
run-length3;100000;9;256;16;0.272384;12.8366;1096472
run-length3;100000;9;512;16;0.165376;21.1426;1096472
run-length3;100000;9;8;32;4.5361;0.770811;1096472
run-length3;100000;9;16;32;2.29786;1.52162;1096472
run-length3;100000;9;32;32;1.15424;3.02924;1096472
run-length3;100000;9;64;32;0.586336;5.96326;1096472
run-length3;100000;9;128;32;0.3072;11.3817;1096472
run-length3;100000;9;256;32;0.17344;20.1595;1096472
run-length3;100000;9;512;32;0.098208;35.6027;1096472
run-length3;100000;9;8;64;2.22269;1.57308;1096472
run-length3;100000;9;16;64;1.11616;3.13259;1096472
run-length3;100000;9;32;64;0.562048;6.22095;1096472
run-length3;100000;9;64;64;0.29504;11.8508;1096472
run-length3;100000;9;128;64;0.16816;20.7925;1096472
run-length3;100000;9;256;64;0.098304;35.568;1096472
run-length3;100000;9;512;64;0.066304;52.734;1096472
run-length3;100000;9;8;128;1.13872;3.07053;1096472
run-length3;100000;9;16;128;0.580192;6.0264;1096472
run-length3;100000;9;32;128;0.297664;11.7464;1096472
run-length3;100000;9;64;128;0.159744;21.888;1096472
run-length3;100000;9;128;128;0.098304;35.568;1096472
run-length3;100000;9;256;128;0.067552;51.7597;1096472
run-length3;100000;9;512;128;0.044928;77.8239;1096472
run-length3;100000;9;8;256;0.620192;5.63772;1096472
run-length3;100000;9;16;256;0.321536;10.8743;1096472
run-length3;100000;9;32;256;0.17328;20.1782;1096472
run-length3;100000;9;64;256;0.09856;35.4756;1096472
run-length3;100000;9;128;256;0.066688;52.4303;1096472
run-length3;100000;9;256;256;0.04816;72.6012;1096472
run-length3;100000;9;512;256;0.042784;81.7238;1096472
run-length3;100000;9;8;512;0.362496;9.64555;1096472
run-length3;100000;9;16;512;0.193888;18.0335;1096472
run-length3;100000;9;32;512;0.108544;32.2125;1096472
run-length3;100000;9;64;512;0.068512;51.0344;1096472
run-length3;100000;9;128;512;0.047648;73.3813;1096472
run-length3;100000;9;256;512;0.044352;78.8346;1096472
run-length3;100000;9;512;512;0.044032;79.4075;1096472
run-length3;100000;9;8;1024;0.267488;13.0715;1096472
run-length3;100000;9;16;1024;0.145344;24.0565;1096472
run-length3;100000;9;32;1024;0.086784;40.2894;1096472
run-length3;100000;9;64;1024;0.049856;70.1314;1096472
run-length3;100000;9;128;1024;0.049472;70.6758;1096472
run-length3;100000;9;256;1024;0.050784;68.8499;1096472
run-length3;100000;9;512;1024;0.050848;68.7632;1096472
run-length3;100000;10;8;16;10.4449;0.338522;1135822
run-length3;100000;10;16;16;4.10995;0.860307;1135822
run-length3;100000;10;32;16;2.05632;1.71949;1135822
